hdn_count,n_reads
0,222006
1,208742
2,191021
3,116978
4,52039
5,18382
6,6338
7,2565
8,1557
9,1009
10,695
11,427
12,323
13,245
14,266
15,158
16,64
17,40
18,25
19,5
20,6
21,7
22,4
23,1
