hdn_count,n_reads
0,204168
1,209193
2,192689
3,122426
4,56660
5,21096
6,7835
7,2884
8,1745
9,1068
10,870
11,667
12,521
13,295
14,247
15,224
16,169
17,69
18,30
19,26
20,3
21,6
22,7
23,4
24,1
