hdn_count,n_reads
0,7837
1,8490
2,14098
3,17171
4,16629
5,12458
6,7836
7,4243
8,2059
9,945
10,439
11,186
12,115
13,65
14,56
15,53
16,35
17,30
18,22
19,18
20,4
21,11
22,12
23,6
24,5
25,7
26,2
29,1
