hdn_count,n_reads
0,20769
1,19503
2,23527
3,16935
4,8593
5,3277
6,1011
7,332
8,150
9,76
10,57
11,38
12,20
13,14
14,15
15,10
16,5
17,2
18,6
19,3
21,2
22,1
