hdn_count,n_reads
0,19327
1,20057
2,22334
3,15920
4,8233
5,3277
6,1109
7,352
8,187
9,95
10,55
11,59
12,33
13,33
14,20
15,27
16,17
17,14
18,7
19,7
20,4
21,7
22,1
23,1
25,1
26,1
