hdn_count,n_reads
0,29730
1,24916
2,21961
3,11037
4,3743
5,906
6,233
7,117
8,45
9,52
10,21
11,38
12,32
13,21
14,12
15,15
16,16
17,8
18,11
19,7
20,3
21,1
22,1
