hdn_count,n_reads
0,57939
1,17451
2,11406
3,3832
4,1029
5,300
6,194
7,117
8,82
9,54
10,43
11,29
12,31
13,25
14,22
15,11
16,7
17,8
18,1
19,7
20,2
21,2
22,2
23,2
