hdn_count,n_reads
0,343223
1,244132
2,178888
3,64550
4,14936
5,3980
6,2257
7,1573
8,1297
9,1008
10,503
11,208
12,88
13,48
14,39
15,17
16,15
17,15
18,10
19,3
20,13
21,3
22,8
