hdn_count,n_reads
0,1057972
1,128890
2,110118
3,47470
4,22646
5,10044
6,8482
7,5539
8,3464
9,1914
10,1072
11,749
12,541
13,327
14,201
15,127
16,42
17,48
18,47
19,22
20,33
21,30
