hdn_count,n_reads
0,893423
1,51013
2,40725
3,14907
4,11053
5,6611
6,4442
7,3278
8,2229
9,1554
10,920
11,668
12,395
13,236
14,142
15,91
16,57
17,39
18,14
19,4
20,12
21,7
22,1
