hdn_count,n_reads
0,663432
1,99080
2,31303
3,8675
4,2842
5,1257
6,571
7,272
8,201
9,140
10,189
11,155
12,215
13,129
14,57
15,37
16,36
17,49
18,61
19,20
20,33
21,8
