hdn_count,n_reads
0,805468
1,121045
2,43966
3,13157
4,6709
5,4300
6,5075
7,3216
8,2911
9,2455
10,2168
11,1904
12,1082
13,769
14,765
15,410
16,271
17,164
18,86
