hdn_count,n_reads
0,1561457
1,131923
2,47524
3,17295
4,11011
5,6970
6,5694
7,4485
8,3985
9,3523
10,3240
11,3230
12,3236
13,3275
14,2968
15,1939
16,1406
17,719
18,505
19,441
20,375
21,349
22,291
23,245
24,224
25,226
26,189
27,162
28,123
29,129
30,136
31,93
32,42
33,64
34,44
35,46
36,41
37,55
38,22
39,23
40,11
41,8
42,5
43,2
44,1
45,4
46,9
47,4
48,5
49,9
50,1
