hdn_count,n_reads
0,1581407
1,69408
2,30626
3,9239
4,5468
5,2427
6,1768
7,1816
8,1276
9,836
10,466
11,313
12,240
13,183
14,105
15,104
16,109
17,95
18,63
19,46
20,48
21,26
22,28
23,20
24,7
