hdn_count,n_reads
0,12138
1,14059
2,20054
3,18856
4,13224
5,7144
6,3173
7,1282
8,508
9,252
10,132
11,93
12,56
13,52
14,29
15,29
16,26
17,15
18,15
19,15
20,8
21,4
22,7
23,4
25,2
28,1
