hdn_count,n_reads
0,20193
1,13891
2,20974
3,21108
4,15830
5,9331
6,4641
7,1951
8,949
9,446
10,250
11,133
12,96
13,58
14,42
15,22
16,17
17,11
18,9
19,7
21,5
22,4
24,1
