GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_001900575.1	3785868	GCF_001900575.1	3846758	
GCA_001900595.1	3785888	GCF_001900595.1	3846958	
GCA_001900615.1	3785908	GCF_001900615.1	3847898	
GCA_001900635.1	3785928	GCF_001900635.1	3848018	
GCA_001900655.1	3785948	GCF_001900655.1	3846018	
GCA_001900675.1	3785968	GCF_001900675.1	3846798	
GCA_001900695.1	3785988	GCF_001900695.1	3847118	
GCA_001900715.1	3786008	GCF_001900715.1	3865638	
GCA_001900735.1	3786028	GCF_001900735.1	3846618	
GCA_001900775.1	3786128	GCF_001900775.1	3847938	
GCA_001900795.1	3786228	GCF_001900795.1	3846838	
GCA_001900815.1	3786268	GCF_001900815.1	3847158	
GCA_001900835.1	3786288	GCF_001900835.1	3847458	
GCA_001900885.1	3786358	GCF_001900885.1	3846718	
GCA_001900905.1	3786378	GCF_001900905.1	3846658	
GCA_001900925.1	3786398	GCF_001900925.1	3846898	
GCA_001900945.1	3786418	GCF_001900945.1	3847538	
GCA_001900965.1	3786438	GCF_001900965.1	3847218	
GCA_001900985.1	3786458	GCF_001900985.1	3847438	
GCA_001901005.1	3786478	GCF_001901005.1	3847378	
GCA_001901025.1	3786498	GCF_001901025.1	3847238	
GCA_001901045.1	3786518	GCF_001901045.1	3847578	
GCA_001901065.1	3786538	GCF_001901065.1	3848158	
GCA_001901085.1	3786558	GCF_001901085.1	3847598	
GCA_001901105.1	3786578	GCF_001901105.1	3847398	
GCA_001901125.1	3786598	GCF_001901125.1	3848838	
GCA_001901145.1	3786618	GCF_001901145.1	3847838	
GCA_001901165.1	3786638	GCF_001901165.1	3847098	
GCA_001901185.1	3786658	GCF_001901185.1	3847358	
GCA_001901215.1	3786718	GCF_001901215.1	3847278	
GCA_001901315.1	3786778	GCF_001901315.1	3847338	
GCA_001901365.1	3786858	GCF_001901365.1	3848298	
GCA_001901405.1	3786898	GCF_001901405.1	3849918	
GCA_001901425.1	3786918	GCF_001901425.1	3847178	
GCA_001901445.1	3786938	GCF_001901445.1	3866098	
GCA_001901465.1	3786958	GCF_001901465.1	3847658	
GCA_001932515.1	3935908	GCF_001932515.1	3950808	
GCA_001936315.1	3943048	GCF_001936315.1	3953078	
GCA_001969285.1	4011258	GCF_001969285.1	4058868	
GCA_001999185.1	4128398	GCF_001999185.1	4140298	
GCA_002007705.1	4161968	GCF_002007705.1	4164108	
GCA_002009315.1	4164488	GCF_002009315.1	4167528	
GCA_002011945.1	4167738	GCF_002011945.1	4176648	
