hdn_count,n_reads
0,7009
1,5284
2,9095
3,12817
4,15212
5,14568
6,12326
7,9121
8,6021
9,3585
10,2107
11,1090
12,622
13,366
14,211
15,134
16,86
17,63
18,57
19,27
20,17
21,17
22,16
23,12
24,12
25,7
26,7
27,3
29,2
30,2
31,1
36,1
