hdn_count,n_reads
0,4174
1,3955
2,6995
3,10206
4,12676
5,13371
6,12154
7,9607
8,6760
9,4206
10,2620
11,1445
12,745
13,420
14,280
15,175
16,179
17,132
18,93
19,85
20,52
21,65
22,47
23,23
24,27
25,30
26,10
27,6
28,6
29,6
30,3
31,3
32,2
34,2
36,1
37,1
