hdn_count,n_reads
0,49489
1,24261
2,13895
3,3888
4,707
5,179
6,106
7,62
8,45
9,35
10,44
11,36
12,19
13,13
14,16
15,10
16,4
17,4
18,2
19,7
20,9
21,2
