hdn_count,n_reads
0,69349
1,13056
2,7325
3,2119
4,443
5,174
6,84
7,61
8,51
9,37
10,27
11,23
12,30
13,13
14,11
15,5
16,9
17,5
18,4
19,3
22,1
23,3
