hdn_count,n_reads
0,42315
1,26930
2,17146
3,4928
4,948
5,190
6,99
7,71
8,38
9,32
10,22
11,26
12,25
13,20
14,11
15,8
16,5
17,4
18,5
19,5
20,2
21,1
22,2
