hdn_count,n_reads
0,68202
1,13848
2,7659
3,2136
4,406
5,174
6,106
7,60
8,40
9,42
10,37
11,27
12,27
13,25
14,13
15,6
16,3
17,4
18,10
19,4
21,3
22,1
