hdn_count,n_reads
0,49493
1,24337
2,13810
3,3895
4,702
5,178
6,109
7,68
8,48
9,41
10,29
11,30
12,25
13,22
14,10
15,11
16,5
17,1
18,8
19,3
20,6
21,2
