hdn_count,n_reads
0,90233
1,806
2,802
3,366
4,194
5,117
6,75
7,42
8,38
9,45
10,22
11,23
12,21
13,17
14,8
15,4
16,4
17,9
18,2
19,1
20,1
21,3
