hdn_count,n_reads
0,69344
1,13208
2,7314
3,2019
4,410
5,162
6,95
7,58
8,52
9,36
10,28
11,34
12,25
13,15
14,6
15,7
16,7
17,6
18,1
19,2
20,1
22,3
