hdn_count,n_reads
0,90498
1,674
2,681
3,349
4,203
5,115
6,65
7,50
8,37
9,45
10,23
11,23
12,20
13,13
14,11
15,8
16,4
17,7
18,2
19,1
20,1
21,3
