hdn_count,n_reads
0,7006
1,7726
2,12774
3,16331
4,16319
5,12968
6,8777
7,5139
8,2612
9,1144
10,529
11,251
12,153
13,104
14,73
15,56
16,61
17,33
18,14
19,16
20,17
21,17
22,13
23,3
24,7
25,2
26,4
28,2
33,1
