hdn_count,n_reads
0,16285
1,14293
2,19354
3,18346
4,13236
5,7429
6,3632
7,1658
8,684
9,341
10,185
11,120
12,80
13,79
14,51
15,33
16,33
17,19
18,13
19,10
20,21
21,11
22,3
23,3
24,4
25,3
27,1
28,1
