hdn_count,n_reads
0,20174
1,10988
2,17242
3,18751
4,16306
5,11471
6,6798
7,3471
8,1672
9,830
10,394
11,217
12,133
13,71
14,47
15,26
16,32
17,14
18,15
19,19
20,4
21,6
22,4
23,2
24,5
25,1
26,1
