hdn_count,n_reads
0,7315
1,8131
2,13652
3,16652
4,16170
5,12527
6,8139
7,4473
8,2288
9,1080
10,483
11,258
12,150
13,74
14,74
15,65
16,52
17,38
18,27
19,17
20,13
21,12
22,11
23,2
24,3
25,3
27,1
28,1
30,1
