hdn_count,n_reads
0,15879
1,17198
2,21606
3,17689
4,10483
5,4729
6,1892
7,666
8,276
9,150
10,78
11,74
12,49
13,37
14,37
15,23
16,20
17,19
18,8
19,7
20,7
21,4
22,2
24,2
25,1
