hdn_count,n_reads
0,14062
1,15341
2,21158
3,19196
4,12682
5,6229
6,2648
7,975
8,361
9,141
10,87
11,58
12,51
13,28
14,40
15,29
16,12
17,13
18,11
19,11
20,6
21,5
22,4
23,1
24,1
