hdn_count,n_reads
0,19437
1,15054
2,21139
3,19505
4,13428
5,6913
6,3014
7,1223
8,476
9,202
10,136
11,77
12,32
13,41
14,23
15,16
16,11
17,12
18,6
19,8
20,5
21,3
22,4
24,1
30,1
