hdn_count,n_reads
0,3590
1,3218
2,5712
3,8501
4,11225
5,12863
6,12299
7,10846
8,8417
9,5946
10,3923
11,2326
12,1360
13,716
14,452
15,268
16,195
17,118
18,99
19,72
20,55
21,41
22,37
23,30
24,27
25,33
26,23
27,14
28,10
29,5
30,1
31,2
32,2
33,2
