hdn_count,n_reads
0,7867
1,5641
2,8963
3,11828
4,14023
5,15101
6,14093
7,11745
8,8990
9,6309
10,4206
11,2560
12,1672
13,1062
14,704
15,515
16,296
17,248
18,190
19,139
20,115
21,91
22,67
23,57
24,43
25,23
26,21
27,17
28,21
29,5
30,5
31,2
32,2
34,1
35,1
36,1
