hdn_count,n_reads
0,8637
1,5681
2,8751
3,11410
4,13613
5,13530
6,11912
7,9232
8,6424
9,4197
10,2513
11,1485
12,904
13,524
14,303
15,217
16,149
17,102
18,68
19,83
20,46
21,35
22,34
23,28
24,13
25,26
26,15
27,11
28,7
29,1
30,3
31,2
32,3
33,7
34,2
35,3
