hdn_count,n_reads
0,6587
1,5999
2,9093
3,11635
4,14099
5,14805
6,13515
7,11195
8,8215
9,5624
10,3529
11,2172
12,1331
13,806
14,512
15,342
16,283
17,194
18,121
19,86
20,83
21,50
22,46
23,40
24,34
25,31
26,15
27,12
28,6
29,6
30,5
31,2
34,2
36,1
